Method,mse,psnr,ssim,lpips
neighbor,5.074830201845515e-08,73.78371131896972,0.9999204587936401,3.266600258939434e-05
bilinear,4.378747608502209e-08,74.4593130493164,0.9999192825953165,5.651845432112168e-05
bicubic,4.626807919461129e-08,74.25405403137206,0.9999058000246684,4.1701378818288505e-05
TCN,3.8104676489680856e-08,75.09613525390625,0.999931540489197,1.2814282225690476e-05
ESPCN,3.497011768383018e-08,75.5747484588623,0.9999345811208087,6.7328827287838066e-06
RDN,3.335066312781798e-08,75.85279602050781,0.9999394496281941,6.448411942301391e-06
SRCNN,3.857350626361722e-06,54.8711030960083,0.9657468787829079,0.000467424708258477
