Method,mse,psnr,ssim,lpips
gaussian_lowpass,6.136398427614154e-08,72.99504196166993,0.9998826917012533,0.00014781599275920599
ideal_lowpass,8.228806696486402e-08,71.7821234512329,0.9998457225163778,0.0001816655350921792
butterworth_lowpass,6.989327435924509e-08,72.44699172973633,0.999867164293925,0.00017850888460088754
mean_spatial,9.961525877955068e-08,70.8762572479248,0.9997646752993267,0.0002141985038360872
gaussian_spatial,6.044077028199979e-08,73.09463592529296,0.999888829390208,0.0001533584826211154
sinc_spatial,4.5872272127489565e-08,74.45253158569336,0.9998956942558288,2.6312091811178107e-05
